ambition	tham vọng
angle	góc độ
angry	tức giận
apple	quả táo
application	ứng dụng
bag	bao lô
ball	quả bóng
bathroom	phòng tắm
battery	pin
book	quyển sách
chair	cái ghế
change	thay đổi
clarity	sự trong trẻo
cognition	sự nhận thức
cognitive	nhận thức
comprehension	sự nhận thức
comprehensive	kiến thức rộng
cooker	nồi cơm điện
cookies	bánh quy
crayon	bút sáp màu
glasses	mắt kính
grass	cỏ
hello	xin chào
painting	bức tranh
paper	tờ giấy
perfume	nước hoa
relentless	không ngừng
remedy	biện pháp cứu chữa
selfish	ích kỷ
shirt	áo sơ mi
stupid	ngu ngốc
table	cái bàn
useless	vô dụng
wallet	cái ví
